date,station_id,scene_id,ndti,ndti_std,ndwi,mndwi,red_green_ratio,red,green,nir,swir16,water_pixel_count,window_pixels,cloud_fraction,tile_cloud_cover,quality,quality_score
2017-01-07,P01,S2A_30NXM_20170107_1_L2A,0.01988,0.018233,-0.1652,0.132216,1.039422,0.1582,0.1522,0.2139,0.1189,500,748,0.3316,37.65,GOOD,1.0
2017-01-27,P01,S2A_30NXM_20170127_0_L2A,0.131837,0.029821,-0.173403,0.299938,1.318418,0.2033,0.1542,0.2275,0.0804,742,748,0.008,2.443,GOOD,1.0
2017-03-08,P01,S2A_30NXM_20170308_0_L2A,0.018093,0.040904,-0.148641,0.001642,1.037209,0.1561,0.1505,0.2034,0.14485,76,748,0.8984,35.949,LOW_QUALITY,0.64
2017-03-18,P01,S2A_30NXM_20170318_0_L2A,0.034357,0.043376,-0.18492,-0.132111,1.093472,0.2211,0.2022,0.3296,0.2855,82,748,0.8904,26.619,LOW_QUALITY,0.64
2017-03-28,P01,S2A_30NXM_20170328_0_L2A,0.050967,0.048157,-0.287784,-0.005635,1.091444,0.1671,0.1531,0.2797,0.1441,116,748,0.8449,6.877,ACCEPTABLE,0.72
2017-04-17,P01,S2A_30NXM_20170417_0_L2A,0.046503,0.046034,-0.297493,0.046434,1.102581,0.1709,0.155,0.2896,0.13955,108,748,0.8556,7.07,LOW_QUALITY,0.64
2017-04-27,P01,S2A_30NXM_20170427_0_L2A,0.094165,0.048194,-0.10467,0.264472,1.188625,0.2048,0.1723,0.2158,0.06995,604,748,0.1925,18.822,GOOD,1.0
2017-05-07,P01,S2A_30NXM_20170507_0_L2A,0.033285,0.088019,-0.335723,-0.027198,1.076618,0.163,0.1514,0.3045,0.1508,84,748,0.8877,64.393,LOW_QUALITY,0.52
2017-07-11,P01,S2B_30NXM_20170711_0_L2A,0.12648,0.031989,0.004575,0.671638,1.286615,0.1836,0.1427,0.1435,0.0264,624,748,0.1658,15.139,GOOD,1.0
2017-07-21,P01,S2B_30NXM_20170721_0_L2A,0.03492,0.060033,-0.082378,0.249102,1.085384,0.15,0.1382,0.1762,0.0794,178,748,0.762,73.241,ACCEPTABLE,0.8
2017-08-15,P01,S2A_30NXM_20170815_0_L2A,0.081794,0.053249,-0.130849,0.1034,1.144132,0.1667,0.1457,0.2104,0.1147,100,748,0.8663,69.097,LOW_QUALITY,0.64
2017-08-20,P01,S2B_30NXM_20170820_0_L2A,0.037344,0.057057,0.07375,0.521886,1.077635,0.1513,0.1404,0.125,0.0485,168,748,0.7754,49.826,ACCEPTABLE,0.92
2017-10-14,P01,S2A_30NXM_20171014_0_L2A,0.025824,0.026719,-0.085925,0.139096,1.054873,0.1288,0.1221,0.147,0.087,326,748,0.5642,61.467,ACCEPTABLE,0.92
2017-10-24,P01,S2A_30NXM_20171024_0_L2A,0.017593,0.032413,0.030847,0.256128,1.043248,0.1182,0.1133,0.1051,0.0646,506,748,0.3235,50.972,GOOD,1.0
2017-10-29,P01,S2B_30NXM_20171029_0_L2A,0.019321,0.0468,-0.292854,-0.08173,1.051325,0.127,0.1208,0.2429,0.1499,140,748,0.8128,28.865,ACCEPTABLE,0.72
2017-11-03,P01,S2A_30NXM_20171103_0_L2A,0.023024,0.026667,-0.062592,0.043469,1.032625,0.1361,0.1318,0.1518,0.11775,168,748,0.7754,32.6,ACCEPTABLE,0.92
2017-11-08,P01,S2B_30NXM_20171108_0_L2A,0.049759,0.043435,-0.111217,0.197648,1.105629,0.1591,0.1439,0.181,0.0922,180,748,0.7594,23.597,ACCEPTABLE,0.92
2017-11-13,P01,S2A_30NXM_20171113_0_L2A,0.04622,0.044121,-0.014987,0.293522,1.092554,0.157,0.1437,0.1587,0.0761,94,748,0.8743,36.43,LOW_QUALITY,0.64
2017-11-18,P01,S2B_30NXM_20171118_0_L2A,0.033828,0.053075,0.059668,0.452534,1.066502,0.1299,0.1218,0.1142,0.0483,298,748,0.6016,43.478,ACCEPTABLE,0.92
2017-12-03,P01,S2A_30NXM_20171203_0_L2A,0.031433,0.055574,-0.192834,-0.082416,1.059269,0.168,0.1586,0.279,0.1739,46,748,0.9385,39.376,LOW_QUALITY,0.64
2017-12-13,P01,S2A_30NXM_20171213_1_L2A,0.020399,0.011799,-0.188582,0.098749,1.042519,0.1937,0.1858,0.2712,0.1506,748,748,0.0,57.827,GOOD,1.0
2017-12-18,P01,S2B_30NXM_20171218_0_L2A,-0.010326,0.02806,-0.062636,0.208475,0.98743,0.1414,0.1432,0.1612,0.0943,160,748,0.7861,49.295,ACCEPTABLE,0.92
2017-12-28,P01,S2B_30NXM_20171228_1_L2A,0.027778,0.00931,-0.181371,0.121437,1.057402,0.21,0.1986,0.2864,0.157,214,748,0.7139,66.08,ACCEPTABLE,0.92
2018-01-02,P01,S2A_30NXM_20180102_1_L2A,0.128778,0.017504,-0.12131,0.306383,1.294438,0.2141,0.1654,0.21585,0.0866,748,748,0.0,4.643,GOOD,1.0
2018-01-07,P01,S2B_30NXM_20180107_0_L2A,0.042511,0.005032,-0.149887,-0.203537,1.104902,0.3381,0.306,0.4124,0.46815,12,748,0.984,60.77,LOW_QUALITY,0.49
2018-01-12,P01,S2A_30NXM_20180112_0_L2A,0.051123,0.031992,-0.106943,0.173732,1.140553,0.1485,0.1302,0.1785,0.0935,254,748,0.6604,15.042,ACCEPTABLE,0.92
2018-01-17,P01,S2B_30NXM_20180117_0_L2A,0.103985,0.0267,-0.210883,0.06299,1.208092,0.1672,0.1384,0.2205,0.1221,658,748,0.1203,8.101,GOOD,1.0
2018-01-22,P01,S2A_30NXM_20180122_0_L2A,0.092593,0.039222,-0.167624,0.125451,1.205449,0.1637,0.1358,0.1857,0.10015,340,748,0.5455,1.725,ACCEPTABLE,0.92
2018-01-27,P01,S2B_30NXM_20180127_0_L2A,0.007832,0.01663,-0.192532,0.000776,1.015244,0.1332,0.1312,0.1929,0.1313,344,748,0.5401,3.854,ACCEPTABLE,0.92
2018-02-01,P01,S2A_30NXM_20180201_0_L2A,0.045371,0.028348,-0.182308,0.046401,1.127066,0.2182,0.1936,0.2834,0.1733,186,748,0.7513,20.595,ACCEPTABLE,0.92
2018-02-06,P01,S2B_30NXM_20180206_0_L2A,-0.075844,0.037909,-0.034581,0.133779,0.846586,0.0905,0.1069,0.1201,0.0851,258,748,0.6551,31.955,ACCEPTABLE,0.92
2018-03-03,P01,S2A_30NXM_20180303_0_L2A,0.047563,0.042773,-0.041587,0.484446,1.092954,0.1458,0.1334,0.1413,0.04835,216,748,0.7112,41.468,ACCEPTABLE,0.92
2018-03-08,P01,S2B_30NXM_20180308_0_L2A,0.033859,0.050623,0.029495,0.328929,1.076577,0.1195,0.111,0.1062,0.054,340,748,0.5455,44.23,ACCEPTABLE,0.92
2018-03-13,P01,S2A_30NXM_20180313_0_L2A,0.016357,0.032655,0.012653,0.194098,1.026696,0.1423,0.1386,0.1291,0.0895,90,748,0.8797,40.671,LOW_QUALITY,0.64
2018-03-23,P01,S2A_30NXM_20180323_1_L2A,0.100058,0.029903,0.259045,0.467463,1.23172,0.2291,0.186,0.1101,0.0658,148,748,0.8021,61.526,ACCEPTABLE,0.72
2018-04-22,P01,S2A_30NXM_20180422_0_L2A,0.040823,0.030755,-0.039417,0.065169,1.043726,0.1098,0.1052,0.12,0.096,118,748,0.8422,39.1,ACCEPTABLE,0.72
2018-04-27,P01,S2B_30NXM_20180427_0_L2A,0.053778,0.04699,-0.176128,0.0055,1.110709,0.1535,0.1382,0.1988,0.13825,72,748,0.9037,17.298,LOW_QUALITY,0.64
2018-05-22,P01,S2A_30NXM_20180522_0_L2A,0.082197,0.042119,-0.164338,0.041116,1.194795,0.1515,0.1268,0.1685,0.1229,118,748,0.8422,31.143,ACCEPTABLE,0.72
2018-06-01,P01,S2A_30NXM_20180601_0_L2A,0.013272,0.024952,-0.1964,-0.012579,1.026379,0.1284,0.1251,0.184,0.1276,478,748,0.361,49.499,GOOD,1.0
2018-06-06,P01,S2B_30NXM_20180606_0_L2A,0.105557,0.048014,-0.004679,0.636662,1.239296,0.3097,0.2499,0.2543,0.0575,150,748,0.7995,46.185,ACCEPTABLE,0.92
2018-06-16,P01,S2B_30NXM_20180616_1_L2A,0.087691,0.02834,0.102467,0.439799,1.196773,0.267,0.2231,0.1822,0.0914,190,748,0.746,70.181,ACCEPTABLE,0.92
2018-07-31,P01,S2A_30NXM_20180731_0_L2A,0.124487,0.022106,0.066703,0.599967,1.290234,0.1876,0.1454,0.1346,0.0381,592,748,0.2086,33.362,GOOD,1.0
2018-08-05,P01,S2B_30NXM_20180805_0_L2A,0.038082,0.073638,-0.255202,-0.073232,1.09488,0.1454,0.1328,0.2377,0.1372,298,748,0.6016,13.98,ACCEPTABLE,0.8
2018-09-09,P01,S2A_30NXM_20180909_0_L2A,0.037191,0.044404,0.036833,0.442066,1.049757,0.173,0.1648,0.1889,0.0579,274,748,0.6337,71.89,ACCEPTABLE,0.92
2018-09-14,P01,S2B_30NXM_20180914_0_L2A,0.053755,0.058061,0.027069,0.445067,1.145974,0.1523,0.1329,0.1338,0.0518,318,748,0.5749,44.186,ACCEPTABLE,0.92
2018-09-19,P01,S2A_30NXM_20180919_0_L2A,0.074326,0.042962,-0.031668,0.277246,1.061554,0.2104,0.1982,0.2338,0.0936,528,748,0.2941,70.756,GOOD,1.0
2018-10-14,P01,S2B_30NXM_20181014_0_L2A,0.047412,0.055325,0.006414,0.239486,1.101449,0.1596,0.1449,0.1715,0.06965,344,748,0.5401,74.551,ACCEPTABLE,0.92
2018-10-19,P01,S2A_30NXM_20181019_0_L2A,0.082808,0.0531,0.070116,0.458592,1.155573,0.1493,0.1292,0.1519,0.0527,230,748,0.6925,39.469,ACCEPTABLE,0.92
2018-10-24,P01,S2B_30NXM_20181024_0_L2A,0.00995,0.047311,0.18225,0.56865,1.018834,0.1136,0.1115,0.0791,0.0302,466,748,0.377,69.243,GOOD,1.0
2018-11-03,P01,S2B_30NXM_20181103_0_L2A,0.104247,0.057157,0.012757,0.618222,1.203873,0.2238,0.1859,0.1845,0.0421,554,748,0.2594,30.452,GOOD,1.0
2018-11-18,P01,S2A_30NXM_20181118_0_L2A,0.07712,0.053096,0.023371,0.553168,1.156187,0.171,0.1479,0.1674,0.04345,488,748,0.3476,39.967,GOOD,1.0
2018-11-23,P01,S2B_30NXM_20181123_0_L2A,0.095596,0.059373,-0.057336,0.386906,1.110224,0.2085,0.1878,0.2315,0.0683,594,748,0.2059,32.138,GOOD,1.0
