date,precip_mm,source
2017-01-01,0.0,nasa_power
2017-01-02,0.0,nasa_power
2017-01-03,0.0,nasa_power
2017-01-04,0.0,nasa_power
2017-01-05,0.0,nasa_power
2017-01-06,2.04,nasa_power
2017-01-07,5.66,nasa_power
2017-01-08,10.07,nasa_power
2017-01-09,3.6,nasa_power
2017-01-10,1.44,nasa_power
2017-01-11,0.01,nasa_power
2017-01-12,0.04,nasa_power
2017-01-13,0.06,nasa_power
2017-01-14,0.02,nasa_power
2017-01-15,0.01,nasa_power
2017-01-16,0.0,nasa_power
2017-01-17,0.0,nasa_power
2017-01-18,0.0,nasa_power
2017-01-19,0.0,nasa_power
2017-01-20,0.0,nasa_power
2017-01-21,3.15,nasa_power
2017-01-22,4.19,nasa_power
2017-01-23,3.29,nasa_power
2017-01-24,0.52,nasa_power
2017-01-25,0.14,nasa_power
2017-01-26,0.16,nasa_power
2017-01-27,0.21,nasa_power
2017-01-28,0.27,nasa_power
2017-01-29,0.35,nasa_power
2017-01-30,0.87,nasa_power
2017-01-31,1.44,nasa_power
2017-02-01,6.33,nasa_power
2017-02-02,0.83,nasa_power
2017-02-03,2.29,nasa_power
2017-02-04,1.39,nasa_power
2017-02-05,0.19,nasa_power
2017-02-06,0.21,nasa_power
2017-02-07,0.23,nasa_power
2017-02-08,0.21,nasa_power
2017-02-09,0.25,nasa_power
2017-02-10,1.89,nasa_power
2017-02-11,2.32,nasa_power
2017-02-12,0.99,nasa_power
2017-02-13,2.57,nasa_power
2017-02-14,0.29,nasa_power
2017-02-15,0.0,nasa_power
2017-02-16,0.0,nasa_power
2017-02-17,0.0,nasa_power
2017-02-18,0.0,nasa_power
2017-02-19,0.0,nasa_power
2017-02-20,1.0,nasa_power
2017-02-21,0.68,nasa_power
2017-02-22,1.96,nasa_power
2017-02-23,3.14,nasa_power
2017-02-24,4.18,nasa_power
2017-02-25,5.44,nasa_power
2017-02-26,11.88,nasa_power
2017-02-27,0.94,nasa_power
2017-02-28,1.46,nasa_power
2017-03-01,2.18,nasa_power
2017-03-02,3.19,nasa_power
2017-03-03,5.48,nasa_power
2017-03-04,4.79,nasa_power
2017-03-05,6.73,nasa_power
2017-03-06,12.77,nasa_power
2017-03-07,7.27,nasa_power
2017-03-08,1.42,nasa_power
2017-03-09,4.41,nasa_power
2017-03-10,4.19,nasa_power
2017-03-11,3.94,nasa_power
2017-03-12,1.31,nasa_power
2017-03-13,0.61,nasa_power
2017-03-14,1.3,nasa_power
2017-03-15,0.26,nasa_power
2017-03-16,0.34,nasa_power
2017-03-17,0.51,nasa_power
2017-03-18,0.92,nasa_power
2017-03-19,0.79,nasa_power
2017-03-20,4.23,nasa_power
2017-03-21,12.03,nasa_power
2017-03-22,1.53,nasa_power
2017-03-23,8.29,nasa_power
2017-03-24,5.26,nasa_power
2017-03-25,2.24,nasa_power
2017-03-26,1.4,nasa_power
2017-03-27,5.18,nasa_power
2017-03-28,4.17,nasa_power
2017-03-29,5.35,nasa_power
2017-03-30,10.57,nasa_power
2017-03-31,1.69,nasa_power
2017-04-01,2.61,nasa_power
2017-04-02,2.23,nasa_power
2017-04-03,2.48,nasa_power
2017-04-04,0.78,nasa_power
2017-04-05,3.12,nasa_power
2017-04-06,7.73,nasa_power
2017-04-07,7.24,nasa_power
2017-04-08,9.41,nasa_power
2017-04-09,11.19,nasa_power
2017-04-10,2.03,nasa_power
2017-04-11,3.0,nasa_power
2017-04-12,6.92,nasa_power
2017-04-13,6.6,nasa_power
