date,ndti,ndti_std,red,green,cloud_cover,scene_id,water_pixel_count
2017-01-07,0.01988,0.018233,0.1582,0.1522,37.65,S2A_30NXM_20170107_1_L2A,500
2017-01-27,0.131837,0.029821,0.2033,0.1542,2.443,S2A_30NXM_20170127_0_L2A,742
2017-02-06,-0.029908,0.005069,0.1472,0.1566,42.313,S2A_30NXM_20170206_0_L2A,6
2017-03-08,0.018093,0.040904,0.1561,0.1505,35.949,S2A_30NXM_20170308_0_L2A,76
2017-03-18,0.034357,0.043376,0.2211,0.2022,26.619,S2A_30NXM_20170318_0_L2A,82
2017-03-28,0.050967,0.048157,0.1671,0.1531,6.877,S2A_30NXM_20170328_0_L2A,116
2017-04-17,0.046503,0.046034,0.1709,0.155,7.07,S2A_30NXM_20170417_0_L2A,108
2017-04-27,0.094165,0.048194,0.2048,0.1723,18.822,S2A_30NXM_20170427_0_L2A,604
2017-05-07,0.033285,0.088019,0.163,0.1514,64.393,S2A_30NXM_20170507_0_L2A,84
2017-07-11,0.12648,0.031989,0.1836,0.1427,15.139,S2B_30NXM_20170711_0_L2A,624
2017-07-21,0.03492,0.060033,0.15,0.1382,73.241,S2B_30NXM_20170721_0_L2A,178
2017-08-15,0.081794,0.053249,0.1667,0.1457,69.097,S2A_30NXM_20170815_0_L2A,100
2017-08-20,0.037344,0.057057,0.1513,0.1404,49.826,S2B_30NXM_20170820_0_L2A,168
2017-10-14,0.025824,0.026719,0.1288,0.1221,61.467,S2A_30NXM_20171014_0_L2A,326
2017-10-24,0.017593,0.032413,0.1182,0.1133,50.972,S2A_30NXM_20171024_0_L2A,506
2017-10-29,0.019321,0.0468,0.127,0.1208,28.865,S2B_30NXM_20171029_0_L2A,140
2017-11-03,0.023024,0.026667,0.1361,0.1318,32.6,S2A_30NXM_20171103_0_L2A,168
2017-11-08,0.049759,0.043435,0.1591,0.1439,23.597,S2B_30NXM_20171108_0_L2A,180
2017-11-13,0.04622,0.044121,0.157,0.1437,36.43,S2A_30NXM_20171113_0_L2A,94
2017-11-18,0.033828,0.053075,0.1299,0.1218,43.478,S2B_30NXM_20171118_0_L2A,298
2017-12-03,0.031433,0.055574,0.168,0.1586,39.376,S2A_30NXM_20171203_0_L2A,46
2017-12-13,0.020399,0.011799,0.1937,0.1858,57.827,S2A_30NXM_20171213_1_L2A,748
2017-12-18,-0.010326,0.02806,0.1414,0.1432,49.295,S2B_30NXM_20171218_0_L2A,160
2017-12-28,0.027778,0.00931,0.21,0.1986,66.08,S2B_30NXM_20171228_1_L2A,214
2018-01-02,0.128778,0.017504,0.2141,0.1654,4.643,S2A_30NXM_20180102_1_L2A,748
2018-01-07,0.042511,0.005032,0.3381,0.306,60.77,S2B_30NXM_20180107_0_L2A,12
2018-01-12,0.051123,0.031992,0.1485,0.1302,15.042,S2A_30NXM_20180112_0_L2A,254
2018-01-17,0.103985,0.0267,0.1672,0.1384,8.101,S2B_30NXM_20180117_0_L2A,658
2018-01-22,0.092593,0.039222,0.1637,0.1358,1.725,S2A_30NXM_20180122_0_L2A,340
2018-01-27,0.007832,0.01663,0.1332,0.1312,3.854,S2B_30NXM_20180127_0_L2A,344
2018-02-01,0.045371,0.028348,0.2182,0.1936,20.595,S2A_30NXM_20180201_0_L2A,186
2018-02-06,-0.075844,0.037909,0.0905,0.1069,31.955,S2B_30NXM_20180206_0_L2A,258
2018-03-03,0.047563,0.042773,0.1458,0.1334,41.468,S2A_30NXM_20180303_0_L2A,216
2018-03-08,0.033859,0.050623,0.1195,0.111,44.23,S2B_30NXM_20180308_0_L2A,340
2018-03-13,0.016357,0.032655,0.1423,0.1386,40.671,S2A_30NXM_20180313_0_L2A,90
2018-03-23,0.100058,0.029903,0.2291,0.186,61.526,S2A_30NXM_20180323_1_L2A,148
2018-04-17,0.040821,0.024252,0.1787,0.1654,48.426,S2B_30NXM_20180417_0_L2A,6
2018-04-22,0.040823,0.030755,0.1098,0.1052,39.1,S2A_30NXM_20180422_0_L2A,118
2018-04-27,0.053778,0.04699,0.1535,0.1382,17.298,S2B_30NXM_20180427_0_L2A,72
2018-05-22,0.082197,0.042119,0.1515,0.1268,31.143,S2A_30NXM_20180522_0_L2A,118
2018-06-01,0.013272,0.024952,0.1284,0.1251,49.499,S2A_30NXM_20180601_0_L2A,478
2018-06-06,0.105557,0.048014,0.3097,0.2499,46.185,S2B_30NXM_20180606_0_L2A,150
2018-06-11,-0.089375,0.049584,0.1619,0.1932,46.464,S2A_30NXM_20180611_0_L2A,6
2018-06-16,0.087691,0.02834,0.267,0.2231,70.181,S2B_30NXM_20180616_1_L2A,190
2018-07-31,0.124487,0.022106,0.1876,0.1454,33.362,S2A_30NXM_20180731_0_L2A,592
2018-08-05,0.038082,0.073638,0.1454,0.1328,13.98,S2B_30NXM_20180805_0_L2A,298
2018-08-15,-0.098546,0.038982,0.1402,0.1732,81.369,S2B_30NXM_20180815_0_L2A,4
