date,ndti,ndti_std,cloud_cover,scene_id,water_pixel_count
2025-04-10,0.10457,0.030383,87.545,S2B_30NXL_20250410_0_L2A,53
2025-06-06,0.004866,0.052847,25.867,S2A_30NXL_20250606_0_L2A,19
2025-07-14,0.084559,0.064211,18.895,S2C_30NXL_20250714_0_L2A,47
2025-07-29,0.049072,0.029309,64.231,S2B_30NXL_20250729_0_L2A,39
2025-10-12,0.108406,0.074536,39.788,S2C_30NXL_20251012_0_L2A,29
2025-11-01,0.126294,0.066485,35.857,S2C_30NXL_20251101_0_L2A,61
2025-11-03,0.106357,0.080504,24.459,S2A_30NXL_20251103_0_L2A,27
2025-12-03,-0.078087,0.061433,37.233,S2A_30NXL_20251203_0_L2A,12
2025-12-06,0.047018,0.070953,44.554,S2B_30NXL_20251206_0_L2A,23
2025-12-16,0.123216,0.06321,61.214,S2B_30NXL_20251216_0_L2A,68
2025-12-21,0.116191,0.055155,43.779,S2C_30NXL_20251221_0_L2A,68
2026-01-25,0.181471,0.065418,4.027,S2B_30NXL_20260125_0_L2A,68
2026-02-19,0.066057,0.019749,72.496,S2C_30NXL_20260219_0_L2A,68
2026-03-01,0.070344,0.04614,54.895,S2C_30NXL_20260301_0_L2A,68
2026-03-06,-0.008704,0.049931,16.229,S2B_30NXL_20260306_0_L2A,19
2026-03-21,0.116532,0.004835,31.943,S2C_30NXL_20260321_0_L2A,10
2026-04-02,0.108709,0.06831,56.502,S2A_30NXL_20260402_0_L2A,68
2026-04-10,0.096838,0.069863,19.98,S2C_30NXL_20260410_0_L2A,68
2026-04-12,0.060922,0.037325,29.944,S2A_30NXL_20260412_0_L2A,68
2026-04-15,0.106014,0.07232,6.38,S2B_30NXL_20260415_0_L2A,68
2026-04-22,0.087197,0.0627,18.105,S2A_30NXL_20260422_0_L2A,68
2026-04-30,0.112678,0.082006,5.442,S2C_30NXL_20260430_0_L2A,68
2026-05-02,0.099427,0.092028,32.122,S2A_30NXL_20260502_0_L2A,44
2026-05-30,0.112627,0.078726,20.629,S2C_30NXL_20260530_0_L2A,68
2026-06-01,0.096775,0.07551,69.091,S2A_30NXL_20260601_0_L2A,68
2026-08-18,0.113289,0.058019,48.327,S2C_30NXL_20260818_0_L2A,68
2026-08-20,0.115693,0.058391,49.578,S2A_30NXL_20260820_0_L2A,68
