date,ndti,ndti_std,red,green,cloud_cover,scene_id,water_pixel_count
2017-01-27,0.072524,0.032304,0.2179,0.1891,13.445,S2A_30NXL_20170127_0_L2A,184
2017-02-06,-0.024013,0.020334,0.154,0.1616,18.868,S2A_30NXL_20170206_0_L2A,8
2017-02-16,-0.004611,0.033276,0.175,0.1765,30.154,S2A_30NXL_20170216_0_L2A,4
2017-03-08,0.014173,0.03015,0.1622,0.1645,16.484,S2A_30NXL_20170308_0_L2A,20
2017-03-18,0.045975,0.05064,0.1638,0.1631,55.25,S2A_30NXL_20170318_0_L2A,50
2017-03-28,0.007498,0.023366,0.2317,0.2232,16.766,S2A_30NXL_20170328_0_L2A,48
2017-04-17,0.007287,0.035052,0.2258,0.2215,13.69,S2A_30NXL_20170417_0_L2A,40
2017-04-27,0.020892,0.014178,0.2331,0.2236,25.903,S2A_30NXL_20170427_0_L2A,4
2017-07-11,0.12118,0.026745,0.2106,0.1649,10.295,S2B_30NXL_20170711_0_L2A,822
2017-08-15,0.094568,0.02178,0.2226,0.1842,65.816,S2A_30NXL_20170815_0_L2A,670
2017-08-20,0.104009,0.037745,0.2697,0.2175,19.154,S2B_30NXL_20170820_0_L2A,520
2017-10-09,0.113591,0.030527,0.2236,0.1776,28.443,S2B_30NXL_20171009_0_L2A,758
2017-10-19,-0.031672,0.036199,0.1478,0.1604,80.007,S2B_30NXL_20171019_0_L2A,8
2017-10-24,0.108366,0.015713,0.2544,0.2046,26.802,S2A_30NXL_20171024_0_L2A,692
2017-10-29,0.125486,0.019653,0.2274,0.1762,45.094,S2B_30NXL_20171029_0_L2A,746
2017-11-03,0.047278,0.020267,0.1362,0.1235,17.962,S2A_30NXL_20171103_0_L2A,164
2017-11-08,0.066006,0.030644,0.157,0.1372,16.765,S2B_30NXL_20171108_0_L2A,128
2017-11-13,0.135275,0.023692,0.2596,0.1965,17.355,S2A_30NXL_20171113_0_L2A,650
2017-11-18,0.02933,0.021483,0.1478,0.1386,31.986,S2B_30NXL_20171118_0_L2A,252
2017-11-28,0.077594,0.047208,0.1584,0.1387,16.465,S2B_30NXL_20171128_0_L2A,482
2017-12-03,0.128379,0.032186,0.2857,0.2204,27.847,S2A_30NXL_20171203_0_L2A,336
2017-12-13,0.03125,0.011431,0.2089,0.196,32.24,S2A_30NXL_20171213_1_L2A,888
2017-12-18,0.073175,0.035003,0.1475,0.1254,21.186,S2B_30NXL_20171218_0_L2A,30
2017-12-28,0.032611,0.012101,0.2224,0.208,30.237,S2B_30NXL_20171228_1_L2A,888
2018-01-02,0.01256,0.007509,0.5076,0.4972,6.359,S2A_30NXL_20180102_1_L2A,358
2018-01-12,-0.009593,0.005463,0.692,0.702,23.652,S2A_30NXL_20180112_0_L2A,8
2018-01-17,0.12126,0.020905,0.1789,0.1396,1.186,S2B_30NXL_20180117_0_L2A,770
2018-01-22,0.08787,0.028724,0.1601,0.1335,11.396,S2A_30NXL_20180122_0_L2A,342
2018-01-27,0.029666,0.004154,0.243,0.2296,42.232,S2B_30NXL_20180127_0_L2A,26
2018-02-01,0.002386,0.018123,0.15,0.1484,9.7,S2A_30NXL_20180201_0_L2A,54
2018-03-03,0.11126,0.034281,0.3448,0.2743,29.263,S2A_30NXL_20180303_1_L2A,414
2018-03-08,0.001852,0.031134,0.155,0.1549,38.889,S2B_30NXL_20180308_0_L2A,68
2018-03-18,0.004679,0.06939,0.1701,0.172,81.316,S2B_30NXL_20180318_0_L2A,4
2018-04-12,-0.02924,0.079297,0.1362,0.1482,35.035,S2A_30NXL_20180412_0_L2A,12
2018-04-17,0.013684,0.024384,0.1458,0.1415,29.374,S2B_30NXL_20180417_0_L2A,24
2018-04-27,0.069994,0.09193,0.1448,0.1233,12.821,S2B_30NXL_20180427_0_L2A,60
2018-05-07,0.028996,0.078172,0.1334,0.1332,41.493,S2B_30NXL_20180507_0_L2A,12
2018-05-12,0.10263,0.044975,0.1881,0.1746,18.959,S2A_30NXL_20180512_0_L2A,190
2018-05-22,0.049614,0.017833,0.1438,0.129,58.457,S2A_30NXL_20180522_0_L2A,230
2018-06-01,0.105325,0.028121,0.3836,0.3108,81.562,S2A_30NXL_20180601_1_L2A,92
2018-06-06,0.113099,0.060713,0.3374,0.2677,80.28,S2B_30NXL_20180606_0_L2A,62
2018-06-11,0.128686,0.026458,0.2868,0.2218,39.13,S2A_30NXL_20180611_0_L2A,752
2018-07-16,-0.0364,0.027361,0.148,0.1592,50.116,S2B_30NXL_20180716_0_L2A,4
2018-07-26,0.110715,0.018974,0.2523,0.2026,80.903,S2B_30NXL_20180726_1_L2A,754
2018-07-31,0.131585,0.039587,0.2554,0.1956,26.666,S2A_30NXL_20180731_1_L2A,872
2018-08-05,0.117917,0.055794,0.243,0.1984,11.265,S2B_30NXL_20180805_0_L2A,812
2018-09-14,0.098111,0.017361,0.2962,0.2416,37.564,S2B_30NXL_20180914_0_L2A,262
2018-09-29,-0.022474,0.031188,0.1512,0.1572,48.211,S2A_30NXL_20180929_0_L2A,44
2018-10-04,0.006109,0.026886,0.1336,0.1296,77.647,S2B_30NXL_20181004_0_L2A,332
2018-10-19,0.126754,0.033225,0.2578,0.1992,28.861,S2A_30NXL_20181019_1_L2A,888
2018-10-24,0.00838,0.066128,0.1526,0.1521,69.358,S2B_30NXL_20181024_0_L2A,442
2018-11-03,0.111111,0.029164,0.3024,0.2416,26.263,S2B_30NXL_20181103_0_L2A,712
2018-11-18,0.114093,0.025262,0.2578,0.2059,34.131,S2A_30NXL_20181118_0_L2A,424
2018-11-23,0.117647,0.018538,0.2587,0.204,15.289,S2B_30NXL_20181123_0_L2A,866
2018-11-28,-0.003726,0.029574,0.1357,0.1367,31.081,S2A_30NXL_20181128_0_L2A,204
2018-12-03,0.125194,0.042489,0.2566,0.199,53.329,S2B_30NXL_20181203_0_L2A,370
2018-12-08,0.014546,0.007239,0.4472,0.4338,42.294,S2A_30NXL_20181208_0_L2A,266
